#,SPC,Date,Time,Path,Path,F-Scale,Killed,Injured,County,Path
,ID #,,(CST),Length,Width,,,,,
,,,,(miles),(yards),,,,,
57,,5/7/2008,1621,5,25,EF0,0,0,McClain/ Cleveland,0.5 SE Goldsby - 1.5 N Noble
58,,5/13/2009,2141,0.5,80,EF0,0,0,Cleveland,West edge of Stanley Draper Lake
59,,6/12/2009,2123,2,200,EF1,0,0,Cleveland,Norman (SE24th/Alameda - SE48th/Lindsey)
60,,5/10/2010,1620,24,2000,EF4,2,49,Cleveland/ Oklahoma,Far north Norman (near Santa Fe/ Indian Hill Road) - south Moore - Lake Draper - I-40/Choctaw - 1.5 SSE Harrah
61,,5/10/2010,1622,4,250,EF1,0,0,Cleveland,south and east Moore (near Broadway/Eastern - NE of SE 119th/Sunnylane)
62,,5/10/2010,1627,0.5,50,EF1,0,0,Cleveland,far southeast Moore (near SE 34th St./Sooner Road)
63,,5/10/2010,1632,22,880,EF4,1,32,Cleveland/ Pottawatomie,south Norman (0.5 E SH-9/Jenkins) - Lake Thunderbird - Little Axe - 4 E Pink
64,,5/10/2010,1634,6,250,EF1,0,0,Cleveland,south Norman (S of SH-9/Chautauqua - just NE of SH-9/SE 60th)
65,,5/10/2010,1639,17,440,EF2,0,3,Cleveland/ Pottawatomie,7 ESE Noble - east Norman - 4 E Pink
66,,5/10/2010,1752,2,80,EF0,0,0,Cleveland,7 E - 9 E Lexington
67,,5/24/2011,1606,33,880,EF4,1,48,Grady/ McClain/ Cleveland,2 S Chickasha - SW Oklahoma City (near SW 149th and Portland)
68,,4/13/2012,1459,6,600,EF1,0,20,McClain/ Cleveland,4 NNW Goldsby - Norman (just N of SW36/Lindsay - just S of NE12/Robinson)
69,,5/19/2013,1700,23,1500,EF4,2,10,Cleveland/ Pottawatomie,East Norman (8 E downtown) - 6.5 ESE McLoud
70,,5/20/2013,1356,14,1900,EF5,24,212,McClain/ Cleveland,Newcastle (3 NW US-277/SH-130) - 4.8 E Moore
71,,5/29/2013,1742,0.1,10,EF1,0,0,Cleveland,Norman (near Imhoff/Berry)
72,,5/31/2013,1842,1,100,EF1,0,0,Cleveland,SW OKC (near SW 119/Meridian)
73,,3/25/2015,1734,11,50,EF2,0,7,Cleveland,4.5 WNW - 7 SE Moore
74,,5/6/2015,1646,0.5,25,EF0,0,0,Cleveland,Norman
75,,5/6/2015,1653,3.25,1000,EF1,0,0,Cleveland,Norman
76,,5/19/2015,1422,0.1,20,EF0,0,0,Cleveland,4 ENE Lexington
77,,5/9/2016,1616,0.1,10,EFU,0,0,Cleveland,Lake Thunderbird
78,,10/21/2017,1936,3.5,200,EF1,0,0,McClain/ Cleveland,3 NW Goldsby - 3 SSW Norman (near SH-9/Santa Fe in Newcastle to SW of SH-9/Chautauqua in Norman)
